Image Pair        | Original Matches | Num Inliers | Percent Inliers | Attempt Mosaic
-------------------------------------------------------------------------------------
VCC1 & VCC3       | 78               | -1          | -1              | -1            
VCC1 & VCC2       | 894              | 499         | 55              | 1             
VCC1 & Office1    | 42               | -1          | -1              | -1            
VCC1 & Office2    | 42               | -1          | -1              | -1            
VCC1 & Office3    | 40               | -1          | -1              | -1            
VCC1 & Drinks2    | 35               | -1          | -1              | -1            
VCC1 & Drinks3    | 44               | -1          | -1              | -1            
VCC1 & Drinks1    | 56               | -1          | -1              | -1            
VCC1 & Park2      | 20               | -1          | -1              | -1            
VCC1 & Tree4      | 42               | -1          | -1              | -1            
VCC1 & Park1      | 16               | -1          | -1              | -1            
VCC1 & Tree2      | 34               | -1          | -1              | -1            
VCC1 & Tree3      | 35               | -1          | -1              | -1            
VCC1 & Tree1      | 24               | -1          | -1              | -1            
VCC3 & VCC2       | 100              | -1          | -1              | -1            
VCC3 & Office1    | 18               | -1          | -1              | -1            
VCC3 & Office2    | 15               | -1          | -1              | -1            
VCC3 & Office3    | 10               | -1          | -1              | -1            
VCC3 & Drinks2    | 12               | -1          | -1              | -1            
VCC3 & Drinks3    | 18               | -1          | -1              | -1            
VCC3 & Drinks1    | 13               | -1          | -1              | -1            
VCC3 & Park2      | 8                | -1          | -1              | -1            
VCC3 & Tree4      | 11               | -1          | -1              | -1            
VCC3 & Park1      | 8                | -1          | -1              | -1            
VCC3 & Tree2      | 9                | -1          | -1              | -1            
VCC3 & Tree3      | 15               | -1          | -1              | -1            
VCC3 & Tree1      | 16               | -1          | -1              | -1            
VCC2 & Office1    | 81               | -1          | -1              | -1            
VCC2 & Office2    | 70               | -1          | -1              | -1            
VCC2 & Office3    | 55               | -1          | -1              | -1            
VCC2 & Drinks2    | 48               | -1          | -1              | -1            
VCC2 & Drinks3    | 58               | -1          | -1              | -1            
VCC2 & Drinks1    | 62               | -1          | -1              | -1            
VCC2 & Park2      | 35               | -1          | -1              | -1            
VCC2 & Tree4      | 46               | -1          | -1              | -1            
VCC2 & Park1      | 29               | -1          | -1              | -1            
VCC2 & Tree2      | 46               | -1          | -1              | -1            
VCC2 & Tree3      | 31               | -1          | -1              | -1            
VCC2 & Tree1      | 33               | -1          | -1              | -1            
Office1 & Office2 | 229              | 162         | 70              | 1             
Office1 & Office3 | 128              | 54          | 42              | 1             
Office1 & Drinks2 | 15               | -1          | -1              | -1            
Office1 & Drinks3 | 20               | -1          | -1              | -1            
Office1 & Drinks1 | 15               | -1          | -1              | -1            
Office1 & Park2   | 11               | -1          | -1              | -1            
Office1 & Tree4   | 50               | -1          | -1              | -1            
Office1 & Park1   | 11               | -1          | -1              | -1            
Office1 & Tree2   | 38               | -1          | -1              | -1            
Office1 & Tree3   | 47               | -1          | -1              | -1            
Office1 & Tree1   | 30               | -1          | -1              | -1            
Office2 & Office3 | 97               | 45          | 46              | 1             
Office2 & Drinks2 | 11               | -1          | -1              | -1            
Office2 & Drinks3 | 13               | -1          | -1              | -1            
Office2 & Drinks1 | 15               | -1          | -1              | -1            
Office2 & Park2   | 13               | -1          | -1              | -1            
Office2 & Tree4   | 39               | -1          | -1              | -1            
Office2 & Park1   | 10               | -1          | -1              | -1            
Office2 & Tree2   | 26               | -1          | -1              | -1            
Office2 & Tree3   | 46               | -1          | -1              | -1            
Office2 & Tree1   | 36               | -1          | -1              | -1            
Office3 & Drinks2 | 19               | -1          | -1              | -1            
Office3 & Drinks3 | 19               | -1          | -1              | -1            
Office3 & Drinks1 | 22               | -1          | -1              | -1            
Office3 & Park2   | 7                | -1          | -1              | -1            
Office3 & Tree4   | 29               | -1          | -1              | -1            
Office3 & Park1   | 11               | -1          | -1              | -1            
Office3 & Tree2   | 11               | -1          | -1              | -1            
Office3 & Tree3   | 26               | -1          | -1              | -1            
Office3 & Tree1   | 22               | -1          | -1              | -1            
Drinks2 & Drinks3 | 280              | 73          | 26              | 1             
Drinks2 & Drinks1 | 327              | 51          | 15              | 1             
Drinks2 & Park2   | 30               | -1          | -1              | -1            
Drinks2 & Tree4   | 48               | -1          | -1              | -1            
Drinks2 & Park1   | 73               | -1          | -1              | -1            
Drinks2 & Tree2   | 62               | -1          | -1              | -1            
Drinks2 & Tree3   | 75               | -1          | -1              | -1            
Drinks2 & Tree1   | 36               | -1          | -1              | -1            
Drinks3 & Drinks1 | 100              | -1          | -1              | -1            
Drinks3 & Park2   | 24               | -1          | -1              | -1            
Drinks3 & Tree4   | 50               | -1          | -1              | -1            
Drinks3 & Park1   | 75               | -1          | -1              | -1            
Drinks3 & Tree2   | 60               | -1          | -1              | -1            
Drinks3 & Tree3   | 74               | -1          | -1              | -1            
Drinks3 & Tree1   | 53               | -1          | -1              | -1            
Drinks1 & Park2   | 38               | -1          | -1              | -1            
Drinks1 & Tree4   | 46               | -1          | -1              | -1            
Drinks1 & Park1   | 51               | -1          | -1              | -1            
Drinks1 & Tree2   | 42               | -1          | -1              | -1            
Drinks1 & Tree3   | 57               | -1          | -1              | -1            
Drinks1 & Tree1   | 43               | -1          | -1              | -1            
Park2 & Tree4     | 3                | -1          | -1              | -1            
Park2 & Park1     | 151              | 148         | 98              | 1             
Park2 & Tree2     | 5                | -1          | -1              | -1            
Park2 & Tree3     | 5                | -1          | -1              | -1            
Park2 & Tree1     | 1                | -1          | -1              | -1            
Tree4 & Park1     | 33               | -1          | -1              | -1            
Tree4 & Tree2     | 207              | 87          | 42              | 1             
Tree4 & Tree3     | 616              | 455         | 73              | 1             
Tree4 & Tree1     | 99               | -1          | -1              | -1            
Park1 & Tree2     | 5                | -1          | -1              | -1            
Park1 & Tree3     | 5                | -1          | -1              | -1            
Park1 & Tree1     | 6                | -1          | -1              | -1            
Tree2 & Tree3     | 1121             | 876         | 78              | 1             
Tree2 & Tree1     | 1427             | 1236        | 86              | 1             
Tree3 & Tree1     | 425              | 200         | 47              | 1             
